00081;51739;00006.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00082;93843;00031.000;Pck 50St            ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00083;49554;00005.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00084;91408;00040.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00085;44148;00017.000;Pck 1000St          ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00086;54249;00028.000;Pck 120St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00087;91334;00114.000;Pck 250St           ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00088;91378;00004.000;Ktn 100St           ;KTN;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00089;59712;00150.000;Rol 20St            ;ROL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00090;91327;00005.000;Pck 1Rol            ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00091;81211;00008.000;Rol                 ;ROL;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00092;95334;00045.000;Pck=1Rol a 10St     ;PCK;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00093;87025;00019.000;Fs 1Rol             ;FS ;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00094;87025;00024.000;Fs 1Rol             ;FS ;A.Berroth ;K. Anlauf ;Ikea Gang 26                  ;46000 ;
00095;52427;00007.000;Pck/Rol 15St        ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00096;95334;00009.000;Pck=1Rol a 10St     ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00097;63673;00048.000;Rol 50St            ;ROL;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00098;52637;00042.000;Rol 50St            ;ROL;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00099;63221;00001.000;Pck 1Rol            ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00100;67647;00056.000;Pck 1St             ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00101;50241;00006.000;Pck 1Rol            ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00102;91327;00006.000;Pck 1Rol            ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00103;50241;00009.000;Pck 1Rol            ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00104;50872;00006.000;Pck 12Paar          ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00105;97280;00054.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00106;97279;00032.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00107;97393;00054.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00108;99525;00042.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00109;41161;00048.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00110;41164;00022.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00111;91344;00009.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00112;44135;00069.000;Pck 100St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
00113;41147;00006.000;Pck 250St           ;PCK;A.BERROTH ;K.ANLAUF  ;Ikea gang 26                  ;46000 ;
