00079;96138;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00080;70029;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00081;95687;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00082;94436;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00083;95982;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00084;95970;00022.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00085;56963;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00086;80520;00008.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00087;80613;00005.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00088;70030;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00089;80501;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00090;75864;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00091;56921;00004.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00092;47904;00007.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00093;76252;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00094;75259;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00095;75864;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00096;56860;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00097;76250;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00098;95870;00006.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00099;76250;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00100;96877;00008.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00101;40563;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00102;40563;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00103;75259;00005.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00104;70022;00004.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00105;96132;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00106;96068;00004.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00107;75873;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00108;56918;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00109;56956;00036.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00110;76248;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00111;40314;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00112;40510;00012.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00113;70029;00009.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00114;56860;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00115;99296;00003.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00116;100057;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00117;94436;00005.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00118;80520;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00119;80621;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
00120;95654;00001.000;Pck 50St            ;PCK;Winkler   ;Winkler   ;CuC Hochzone  75-01-10 Duni   ;53001 ;
