00096;71794;00004.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00097;78622;00001.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00098;62670;00010.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00099;78288;00001.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00100;97631;00003.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00101;61892;00002.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00102;86067;00001.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00103;97630;00002.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00104;61942;00003.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00105;78688;00008.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00106;85929;00005.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00107;66923;00001.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00108;81338;00003.000;Pck 20St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00109;60833;00002.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00110;54974;00001.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00111;96751;00002.000;Rol 1St             ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00112;60843;00001.000;Rol                 ;ROL;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00113;68376;00016.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00114;68376;00016.000;Pck 50St            ;PCK;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
