00135;37893;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00136;37385;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00137;39024;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00138;39308;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00139;39027;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00140;39024;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00141;39048;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00142;39304;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00143;38516;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00144;39559;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00145;39556;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00146;37536;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00147;37556;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00148;38144;00015.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00149;38142;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00150;38047;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00151;39561;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00152;36645;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00153;37782;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00154;38566;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00155;37809;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00156;16287;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00157;16290;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00158;37894;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00159;38533;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00160;39073;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00161;9875;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00162;979;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00163;977;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00164;506469;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00165;506468;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00166;506469;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00167;37726;00005.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00168;39734;00006.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00169;37725;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00170;37724;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00171;15279;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00172;37811;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00173;6175;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00175;3536;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00176;36709;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00177;6780;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00178;38902;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00179;5375;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00180;38707;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00181;37358;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00182;36726;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00183;36674;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00184;5116;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00185;38589;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00186;29612;00004.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00187;38588;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00188;39257;00002.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00189;36674;00003.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00190;33209;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00191;15447;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00192;37872;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
00193;35184;00001.000;St                  ;ST ;Mittmann  ;Vogt      ;AAOS80                        ;59003 ;
